candidate_id,candidate_type,features_pipe,feature_count,rationale,evidence_source,expected_structural_question,direct_contribution_correlation,stage1_classifications,predeclared_interpretation_rule,joint_performance_seen_before_freeze,intervention
S2_01,PAIR,home_offense|away_offense,2,exact home/away offense concept; unstable/harmful Stage-1 contrast and material combined movement,Stage-1 exact outputs plus all-row standardized/contribution diagnostics,"Does the home/away concept show redundancy, compensation, or concept-level dependence?",-0.028480854356295604,TEMPORALLY_UNSTABLE|POTENTIALLY_HARMFUL_IN_FROZEN_CHAMPION,compare joint delta with both constituent deltas and their sum; require score degradation beyond correlation for redundancy and nonlinear/opposing score evidence for compensation,False,FROZEN_DIRECT_TERM_ABLATION
S2_02,PAIR,home_prevention|away_prevention,2,exact home/away prevention concept; harmful/unstable Stage-1 contrast,Stage-1 exact outputs plus all-row standardized/contribution diagnostics,"Does the home/away concept show redundancy, compensation, or concept-level dependence?",-0.06758571530811258,POTENTIALLY_HARMFUL_IN_FROZEN_CHAMPION|TEMPORALLY_UNSTABLE,compare joint delta with both constituent deltas and their sum; require score degradation beyond correlation for redundancy and nonlinear/opposing score evidence for compensation,False,FROZEN_DIRECT_TERM_ABLATION
S2_03,PAIR,home_starter_ra9|away_starter_ra9,2,exact starter-quality concept; unstable versus moderately-required Stage-1 contrast,Stage-1 exact outputs plus all-row standardized/contribution diagnostics,"Does the home/away concept show redundancy, compensation, or concept-level dependence?",0.0014835437724034064,TEMPORALLY_UNSTABLE|MODERATELY_REQUIRED_IN_FROZEN_CHAMPION,compare joint delta with both constituent deltas and their sum; require score degradation beyond correlation for redundancy and nonlinear/opposing score evidence for compensation,False,FROZEN_DIRECT_TERM_ABLATION
S2_04,PAIR,home_starter_prior_starts|away_starter_prior_starts,2,exact count-support concept; both individual direct roles unresolved,Stage-1 exact outputs plus all-row standardized/contribution diagnostics,"Does the home/away concept show redundancy, compensation, or concept-level dependence?",0.06128073099884276,UNRESOLVED|UNRESOLVED,compare joint delta with both constituent deltas and their sum; require score degradation beyond correlation for redundancy and nonlinear/opposing score evidence for compensation,False,FROZEN_DIRECT_TERM_ABLATION
S2_05,PAIR,home_expected_outs|away_expected_outs,2,exact workload-location concept; required versus harmful Stage-1 contrast,Stage-1 exact outputs plus all-row standardized/contribution diagnostics,"Does the home/away concept show redundancy, compensation, or concept-level dependence?",0.005235001026141468,MODERATELY_REQUIRED_IN_FROZEN_CHAMPION|POTENTIALLY_HARMFUL_IN_FROZEN_CHAMPION,compare joint delta with both constituent deltas and their sum; require score degradation beyond correlation for redundancy and nonlinear/opposing score evidence for compensation,False,FROZEN_DIRECT_TERM_ABLATION
S2_06,PAIR,home_bullpen_ra9|away_bullpen_ra9,2,exact bullpen-quality concept; both sides moderately required with asymmetric dependence,Stage-1 exact outputs plus all-row standardized/contribution diagnostics,"Does the home/away concept show redundancy, compensation, or concept-level dependence?",-0.07639372402188217,MODERATELY_REQUIRED_IN_FROZEN_CHAMPION|MODERATELY_REQUIRED_IN_FROZEN_CHAMPION,compare joint delta with both constituent deltas and their sum; require score degradation beyond correlation for redundancy and nonlinear/opposing score evidence for compensation,False,FROZEN_DIRECT_TERM_ABLATION
S2_07,PAIR,home_bullpen_likely_available_reliever_count|away_bullpen_likely_available_reliever_count,2,"exact availability concept; opposite coefficient signs, inverse contributions, harmful/required contrast",Stage-1 exact outputs plus all-row standardized/contribution diagnostics,"Does the home/away concept show redundancy, compensation, or concept-level dependence?",-0.3944233143865843,POTENTIALLY_HARMFUL_IN_FROZEN_CHAMPION|MODERATELY_REQUIRED_IN_FROZEN_CHAMPION,compare joint delta with both constituent deltas and their sum; require score degradation beyond correlation for redundancy and nonlinear/opposing score evidence for compensation,False,FROZEN_DIRECT_TERM_ABLATION
S2_08,PAIR,home_bullpen_recent_innings_burden|away_bullpen_recent_innings_burden,2,exact burden concept; inverse contributions and neutral/harmful contrast,Stage-1 exact outputs plus all-row standardized/contribution diagnostics,"Does the home/away concept show redundancy, compensation, or concept-level dependence?",-0.39064559190840115,NEUTRAL_IN_FROZEN_CHAMPION|POTENTIALLY_HARMFUL_IN_FROZEN_CHAMPION,compare joint delta with both constituent deltas and their sum; require score degradation beyond correlation for redundancy and nonlinear/opposing score evidence for compensation,False,FROZEN_DIRECT_TERM_ABLATION
S2_09,PAIR,home_prevention|home_bullpen_ra9,2,very high inverse direct-contribution correlation; harmful/required same-side prevention terms,Stage-1 exact outputs plus all-row standardized/contribution diagnostics,"Does correlated/overlapping frozen dependence reveal cancellation, redundancy, or conditional dependence?",-0.9136339772774433,POTENTIALLY_HARMFUL_IN_FROZEN_CHAMPION|MODERATELY_REQUIRED_IN_FROZEN_CHAMPION,compare joint delta with both constituent deltas and their sum; require score degradation beyond correlation for redundancy and nonlinear/opposing score evidence for compensation,False,FROZEN_DIRECT_TERM_ABLATION
S2_10,PAIR,away_prevention|away_bullpen_ra9,2,very high inverse direct-contribution correlation; unstable/required same-side prevention terms,Stage-1 exact outputs plus all-row standardized/contribution diagnostics,"Does correlated/overlapping frozen dependence reveal cancellation, redundancy, or conditional dependence?",-0.9139191676077405,TEMPORALLY_UNSTABLE|MODERATELY_REQUIRED_IN_FROZEN_CHAMPION,compare joint delta with both constituent deltas and their sum; require score degradation beyond correlation for redundancy and nonlinear/opposing score evidence for compensation,False,FROZEN_DIRECT_TERM_ABLATION
