component,source,repository_evidence,observed_fields_or_behavior,readiness,gap_or_constraint,mvp_class
game_identity_schedule,NHL official schedule API,backend/nhl/scripts/import_schedule_today.py,"game_id,startTimeUTC,home/away,gameState; DB upsert",AVAILABLE_NOW,Stable identity path exists; immutable raw response archive still needed,MVP_REQUIRED
champion_team_history,Certified team-game summaries and official results,backend/nhl/scripts/build_nhl_moneyline_team_goalie_feature_spine.py,"goals,shots,strict-prior rolling rates",AVAILABLE_WITH_MINOR_INTEGRATION,Historical builder proves formulas; prospective as-of builder/parity gate not implemented,MVP_REQUIRED
champion_schedule_history,NHL schedule plus repaired date-chain logic,backend/nhl/scripts/remediate_nhl_season_2024_utah_game_dates.py,"days rest,back-to-back,chronology",AVAILABLE_WITH_MINOR_INTEGRATION,Prospective strict-prior schedule chain can reuse certified rules,MVP_REQUIRED
champion_model_state,Frozen artifact parameters,artifacts/analysis/model_development/nhl_moneyline_simple_baseline_process_validation/2026-07-13,"feature order,medians,scaler,coefficients,intercept",AVAILABLE_NOW,Parameter representation is hashable; governed scorer wrapper remains to implement,MVP_REQUIRED
mainline_market_source,The Odds API configurable NHL endpoint,backend/nhl/cli.py:fetch_odds,"event,commence_time,bookmakers,markets,outcomes,last_update",SOURCE_EXISTS_NOT_CONNECTED,Fetcher accepts configurable markets but defaults to player props and overwrites latest files; h2h immutable lane absent,MVP_REQUIRED
mainline_quote_history,No NHL mainline immutable archive,backend/nhl/site/data and backend/nhl/exports/odds_history,current player-prop snapshots only,NOT_AVAILABLE,Must implement append-only h2h snapshots with capture/source timestamps,MVP_REQUIRED
active_roster,NHL roster endpoint and roster_status,backend/nhl/scripts/refresh_players_and_roster_today.py,"game/team/player,active_flag,asof_ts,optional roles",AVAILABLE_NOW,Current upsert mutates current state and is not an immutable lineup history,MVP_OPTIONAL
goalie_projection_confirmation,No connected pregame authority,repository inspection,player/team/game/status/source/source_ts,TIMING_UNCERTIFIED,"Goalies exist in rosters/logs, but projected/confirmed starter history and immutable change events do not",PHASE_2
injury_scratch_lines,No connected timestamp-certified source,repository inspection,"injuries,scratches,lines,pairs,PP units",NOT_AVAILABLE,Roster activity is not equivalent to injury/scratch or line-combination state,PHASE_2
official_outcome,NHL schedule/gamecenter plus certified full-game winner logic,backend/nhl/scripts/certify_nhl_full_game_moneyline_population.py,"final score,winner,decision type,status",AVAILABLE_WITH_MINOR_INTEGRATION,Prospective grader must append outcome separately and preserve source timestamp/hash,MVP_REQUIRED
SOG_shared_infrastructure,Existing independent prop lane,backend/nhl/cli.py and backend/nhl/scripts/build_sog_with_market.py,"schedule,teams,raw odds transport",AVAILABLE_NOW,Share transport/identity utilities only; do not share populations or policies,MVP_OPTIONAL
