feature,feature_family,artifact_input,fitted_preprocessing,historical_source_contract,required_as_of_rule,row_level_source_timestamp_retained,historical_value_snapshot_complete,reconstruction_status,blocker
d7_home_runs,batter_rolling_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
d7_rbis,batter_rolling_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
d7_walks,batter_rolling_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
d15_home_runs,batter_rolling_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
d15_rbis,batter_rolling_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
d15_walks,batter_rolling_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
d30_home_runs,batter_rolling_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
d30_rbis,batter_rolling_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
d30_walks,batter_rolling_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
d7_stolen_bases,batter_rolling_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
d15_stolen_bases,batter_rolling_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
d30_stolen_bases,batter_rolling_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
d7_strikeouts_pitching,pitcher_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
