class,action,status
PERMITTED_FUTURE_ACTION,admit exact authoritative Starter payload rows into a new repair ledger,FROZEN_REQUIRES_SEPARATE_APPROVAL
PERMITTED_FUTURE_ACTION,correct source-to-side or side-to-row binding,FROZEN_REQUIRES_SEPARATE_APPROVAL
PERMITTED_FUTURE_ACTION,register existing field ownership or aliases,FROZEN_REQUIRES_SEPARATE_APPROVAL
PERMITTED_FUTURE_ACTION,propagate already-certified Starter state to exact governed rows,FROZEN_REQUIRES_SEPARATE_APPROVAL
PERMITTED_FUTURE_ACTION,update blocker accounting,FROZEN_REQUIRES_SEPARATE_APPROVAL
PERMITTED_FUTURE_ACTION,expose existing downstream blockers,FROZEN_REQUIRES_SEPARATE_APPROVAL
PERMITTED_FUTURE_ACTION,create one new cumulative certified state,FROZEN_REQUIRES_SEPARATE_APPROVAL
PROHIBITED_FUTURE_ACTION,reconstructing or recalculating Starter fields,PROHIBITED_BY_GOVERNANCE
PROHIBITED_FUTURE_ACTION,modifying source values,PROHIBITED_BY_GOVERNANCE
PROHIBITED_FUTURE_ACTION,introducing formula changes,PROHIBITED_BY_GOVERNANCE
PROHIBITED_FUTURE_ACTION,using diagnostic substitutes,PROHIBITED_BY_GOVERNANCE
PROHIBITED_FUTURE_ACTION,creating new source evidence,PROHIBITED_BY_GOVERNANCE
PROHIBITED_FUTURE_ACTION,"changing PA, Outcome, or Bundle state",PROHIBITED_BY_GOVERNANCE
PROHIBITED_FUTURE_ACTION,resolving Variant C,PROHIBITED_BY_GOVERNANCE
PROHIBITED_FUTURE_ACTION,altering production or daily paths,PROHIBITED_BY_GOVERNANCE
