field_name,category,write_stage,requirement,data_type,contract
canonical_season,game_identity,PREGAME_CAPTURE,REQUIRED,mixed,Official schedule identity; season must equal 2026.
slate_date,game_identity,PREGAME_CAPTURE,REQUIRED,mixed,Official schedule identity; season must equal 2026.
game_id,game_identity,PREGAME_CAPTURE,REQUIRED,mixed,Official schedule identity; season must equal 2026.
game_date,game_identity,PREGAME_CAPTURE,REQUIRED,mixed,Official schedule identity; season must equal 2026.
scheduled_start_time_utc,game_identity,PREGAME_CAPTURE,REQUIRED,mixed,Official schedule identity; season must equal 2026.
home_team_id,game_identity,PREGAME_CAPTURE,REQUIRED,mixed,Official schedule identity; season must equal 2026.
home_team,game_identity,PREGAME_CAPTURE,REQUIRED,mixed,Official schedule identity; season must equal 2026.
away_team_id,game_identity,PREGAME_CAPTURE,REQUIRED,mixed,Official schedule identity; season must equal 2026.
away_team,game_identity,PREGAME_CAPTURE,REQUIRED,mixed,Official schedule identity; season must equal 2026.
game_status,game_identity,PREGAME_CAPTURE,REQUIRED,mixed,Official schedule identity; season must equal 2026.
run_id,run_identity,PREGAME_CAPTURE,REQUIRED,text/timestamp,Immutable observation identity.
run_timestamp_utc,run_identity,PREGAME_CAPTURE,REQUIRED,text/timestamp,Immutable observation identity.
run_type,run_identity,PREGAME_CAPTURE,REQUIRED,text/timestamp,Immutable observation identity.
diff_std_goal_diff_pg,champion_input,PREGAME_CAPTURE,REQUIRED_FOR_POPULATION_A,float/bool,Strict-prior value computed as of run timestamp; exact frozen feature semantics.
diff_r10_goal_diff_pg,champion_input,PREGAME_CAPTURE,REQUIRED_FOR_POPULATION_A,float/bool,Strict-prior value computed as of run timestamp; exact frozen feature semantics.
diff_std_shot_diff_pg,champion_input,PREGAME_CAPTURE,REQUIRED_FOR_POPULATION_A,float/bool,Strict-prior value computed as of run timestamp; exact frozen feature semantics.
diff_days_rest,champion_input,PREGAME_CAPTURE,REQUIRED_FOR_POPULATION_A,float/bool,Strict-prior value computed as of run timestamp; exact frozen feature semantics.
home_back_to_back,champion_input,PREGAME_CAPTURE,REQUIRED_FOR_POPULATION_A,float/bool,Strict-prior value computed as of run timestamp; exact frozen feature semantics.
away_back_to_back,champion_input,PREGAME_CAPTURE,REQUIRED_FOR_POPULATION_A,float/bool,Strict-prior value computed as of run timestamp; exact frozen feature semantics.
champion_missingness_status,champion_output,PREGAME_CAPTURE,REQUIRED_FOR_POPULATION_A,mixed,Frozen scorer only; probabilities complementary.
champion_home_win_probability,champion_output,PREGAME_CAPTURE,REQUIRED_FOR_POPULATION_A,mixed,Frozen scorer only; probabilities complementary.
champion_away_win_probability,champion_output,PREGAME_CAPTURE,REQUIRED_FOR_POPULATION_A,mixed,Frozen scorer only; probabilities complementary.
