ordinal,exact_field_name,authoritative_upstream_source,construction_utility,construction_definition,strict_prior_cutoff_rule,fallback_policy,historical_persistence
1,league_total,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/totals_core_feature_spine.csv,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_historical_context,feature_row",Mean official final total runs over the governed historical core available before the scored slate.,Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Fatal if governed historical core is unavailable; no row-level imputation.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
2,home_offense,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/totals_core_feature_spine.csv,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_historical_context,feature_row",Home team's governed strict-prior mean runs scored state.,Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Unseen home team falls back to governed league home scoring mean.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
3,home_prevention,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/totals_core_feature_spine.csv,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_historical_context,feature_row",Home team's governed strict-prior mean runs allowed state.,Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Unseen home team falls back to governed league away scoring mean.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
4,away_offense,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/totals_core_feature_spine.csv,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_historical_context,feature_row",Away team's governed strict-prior mean runs scored state.,Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Unseen away team falls back to governed league away scoring mean.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
5,away_prevention,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/totals_core_feature_spine.csv,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_historical_context,feature_row",Away team's governed strict-prior mean runs allowed state.,Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Unseen away team falls back to governed league home scoring mean.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
6,home_starter_ra9,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/strict_prior_starter_state.csv + expected_starter_workload.csv + artifacts/raw/mlb/totals_feature_spine_v1/boxscore/*.json.gz,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_starter,feature_row",27 * strict-prior runs allowed / strict-prior outs for the home probable starter; league half-total fallback when no usable outs.,Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Unresolved probable identity fails closed; sparse known starter uses governed role/team/league workload fallback; no-outs RA9 uses league_total/2.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
7,away_starter_ra9,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/strict_prior_starter_state.csv + expected_starter_workload.csv + artifacts/raw/mlb/totals_feature_spine_v1/boxscore/*.json.gz,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_starter,feature_row",27 * strict-prior runs allowed / strict-prior outs for the away probable starter; league half-total fallback when no usable outs.,Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Unresolved probable identity fails closed; sparse known starter uses governed role/team/league workload fallback; no-outs RA9 uses league_total/2.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
8,home_starter_prior_starts,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/strict_prior_starter_state.csv + expected_starter_workload.csv + artifacts/raw/mlb/totals_feature_spine_v1/boxscore/*.json.gz,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_starter,feature_row",Count of home probable pitcher's strict-prior MLB starts.,Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Zero is valid; unresolved probable identity fails closed; the same count governs starter fallback tier.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
9,away_starter_prior_starts,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/strict_prior_starter_state.csv + expected_starter_workload.csv + artifacts/raw/mlb/totals_feature_spine_v1/boxscore/*.json.gz,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_starter,feature_row",Count of away probable pitcher's strict-prior MLB starts.,Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Zero is valid; unresolved probable identity fails closed; the same count governs starter fallback tier.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
10,home_expected_outs,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/strict_prior_starter_state.csv + expected_starter_workload.csv + artifacts/raw/mlb/totals_feature_spine_v1/boxscore/*.json.gz,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_starter,feature_row","Mean outs from governed home starter workload base, clipped to [3,27].",Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Last 3 direct starts; else 1-2 direct; else last 20 team starts; else last 200 league starts; final synthetic 15 outs.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
